G234103,Essential,Protein Kinases,?,Cell morphology and organelle mutants,PS00107,2,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",cytoplasm.
G234103,Essential,Protein Kinases,?,Cell morphology and organelle mutants,PS00107,2,CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION,cytoplasm.
G234103,Essential,Protein Kinases,?,Cell morphology and organelle mutants,PS00107,2,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm.
G234103,Essential,Protein Kinases,?,Cell morphology and organelle mutants,PS00479,2,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoplasm.
G234103,Essential,Protein Kinases,?,Cell morphology and organelle mutants,PS00479,2,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",cytoplasm.
G234103,Essential,Protein Kinases,?,Cell morphology and organelle mutants,PS00479,2,CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION,cytoplasm.
G234103,Essential,Protein Kinases,?,Cell morphology and organelle mutants,PS00479,2,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm.
G234106,?,Histones,Nucleosomal protein complex,Cell cycle defects,?,2,TRANSCRIPTION,nucleus.
G234106,?,Histones,Nucleosomal protein complex,Cell morphology and organelle mutants,?,2,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),nucleus.
G234106,?,Histones,Nucleosomal protein complex,Cell morphology and organelle mutants,?,2,TRANSCRIPTION,nucleus.
G234106,?,Histones,Nucleosomal protein complex,Conditional phenotypes,?,2,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),nucleus.
G234106,?,Histones,Nucleosomal protein complex,Conditional phenotypes,?,2,TRANSCRIPTION,nucleus.
G234106,?,Histones,Nucleosomal protein complex,Nucleic acid metabolism defects,?,2,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),nucleus.
G234106,?,Histones,Nucleosomal protein complex,Nucleic acid metabolism defects,?,2,TRANSCRIPTION,nucleus.
G234107,Non-Essential,Histones,Nucleosomal protein complex,"Auxotrophies, carbon and",PS00322,2,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),nucleus.
G234107,Non-Essential,Histones,Nucleosomal protein complex,"Auxotrophies, carbon and",PS00322,2,TRANSCRIPTION,nucleus.
G234107,Non-Essential,Histones,Nucleosomal protein complex,"Auxotrophies, carbon and",PS00959,2,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),nucleus.
G234107,Non-Essential,Histones,Nucleosomal protein complex,"Auxotrophies, carbon and",PS00959,2,TRANSCRIPTION,nucleus.
G234107,Non-Essential,Histones,Nucleosomal protein complex,Cell morphology and organelle mutants,PS00322,2,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),nucleus.
G234107,Non-Essential,Histones,Nucleosomal protein complex,Cell morphology and organelle mutants,PS00322,2,TRANSCRIPTION,nucleus.
G234107,Non-Essential,Histones,Nucleosomal protein complex,Cell morphology and organelle mutants,PS00959,2,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),nucleus.
G234107,Non-Essential,Histones,Nucleosomal protein complex,Cell morphology and organelle mutants,PS00959,2,TRANSCRIPTION,nucleus.
G234107,Non-Essential,Histones,Nucleosomal protein complex,Nucleic acid metabolism defects,PS00322,2,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),nucleus.
G234107,Non-Essential,Histones,Nucleosomal protein complex,Nucleic acid metabolism defects,PS00322,2,TRANSCRIPTION,nucleus.
G234107,Non-Essential,Histones,Nucleosomal protein complex,Nucleic acid metabolism defects,PS00959,2,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),nucleus.
G234107,Non-Essential,Histones,Nucleosomal protein complex,Nucleic acid metabolism defects,PS00959,2,TRANSCRIPTION,nucleus.
G234108,Non-Essential,Other kinases,?,?,PS00627,2,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm.
